ID	Date_Time	Control_Word	Status_Word	Reference_1	Reference_2	Speed	Torque	Voltage	Current_i	Power	Error_code
27	2025-09-06 12:20:49	12731	10161	5023	12722	12722	12722	12722	12722	12722	12722
28	2025-09-06 12:20:50	15301	12731	7593	15292	15292	15292	15292	15292	15292	15292
29	2025-09-06 12:20:51	15301	12731	7593	15292	15292	15292	15292	15292	15292	15292
30	2025-09-06 12:20:52	17871	15301	10163	17862	17862	17862	17862	17862	17862	17862
31	2025-09-06 12:20:53	17871	15301	10163	17862	17862	17862	17862	17862	17862	17862
32	2025-09-06 12:20:54	20441	17871	12733	20432	20432	20432	20432	20432	20432	20432
33	2025-09-06 12:20:55	20441	17871	12733	20432	20432	20432	20432	20432	20432	20432
34	2025-09-06 12:20:56	20441	17871	12733	20432	20432	20432	20432	20432	20432	20432
35	2025-09-06 12:20:57	23011	20441	15303	23002	23002	23002	23002	23002	23002	23002
36	2025-09-06 12:20:58	23011	20441	15303	23002	23002	23002	23002	23002	23002	23002
37	2025-09-06 12:20:59	25581	23011	17873	25572	25572	25572	25572	25572	25572	25572
38	2025-09-06 12:21:00	25581	23011	17873	25572	25572	25572	25572	25572	25572	25572
39	2025-09-06 12:21:01	25581	23011	17873	25572	25572	25572	25572	25572	25572	25572
40	2025-09-06 12:21:03	28151	25581	20443	28142	28142	28142	28142	28142	28142	28142
41	2025-09-06 12:21:04	28151	25581	20443	28142	28142	28142	28142	28142	28142	28142
42	2025-09-06 12:21:05	30721	28151	23013	30712	30712	30712	30712	30712	30712	30712
43	2025-09-06 12:21:06	30721	28151	23013	30712	30712	30712	30712	30712	30712	30712
44	2025-09-06 12:21:07	30721	28151	23013	30712	30712	30712	30712	30712	30712	30712
45	2025-09-06 12:21:08	33291	30721	25583	33282	33282	33282	33282	33282	33282	33282
46	2025-09-06 12:37:21	42271	39701	34563	42262	42262	42262	42262	42262	42262	42262
47	2025-09-06 12:37:23	42271	39701	34563	42262	42262	42262	42262	42262	42262	42262
48	2025-09-06 12:37:24	44841	42271	37133	44832	44832	44832	44832	44832	44832	44832
49	2025-09-06 12:37:25	44841	42271	37133	44832	44832	44832	44832	44832	44832	44832
50	2025-09-06 12:37:26	47411	44841	39703	47402	47402	47402	47402	47402	47402	47402
51	2025-09-06 12:37:27	47411	44841	39703	47402	47402	47402	47402	47402	47402	47402
52	2025-09-06 12:37:28	49981	47411	42273	49972	49972	49972	49972	49972	49972	49972
53	2025-09-06 12:37:29	49981	47411	42273	49972	49972	49972	49972	49972	49972	49972
54	2025-09-06 12:37:30	49981	47411	42273	49972	49972	49972	49972	49972	49972	49972
55	2025-09-06 12:37:31	52551	49981	44843	52542	52542	52542	52542	52542	52542	52542
56	2025-09-06 12:37:32	52551	49981	44843	52542	52542	52542	52542	52542	52542	52542
57	2025-09-06 12:37:33	55121	52551	47413	55112	55112	55112	55112	55112	55112	55112
58	2025-09-06 12:37:34	55121	52551	47413	55112	55112	55112	55112	55112	55112	55112
59	2025-09-06 12:37:35	55121	52551	47413	55112	55112	55112	55112	55112	55112	55112
60	2025-09-06 12:37:36	57691	55121	49983	57682	57682	57682	57682	57682	57682	57682
61	2025-09-06 12:50:37	2423	65389	60251	2414	2414	2414	2414	2414	2414	2414
62	2025-09-06 12:50:38	2423	65389	60251	2414	2414	2414	2414	2414	2414	2414
63	2025-09-06 12:50:39	2423	65389	60251	2414	2414	2414	2414	2414	2414	2414
64	2025-09-06 12:50:40	4993	2423	62821	4984	4984	4984	4984	4984	4984	4984
65	2025-09-06 12:50:41	4993	2423	62821	4984	4984	4984	4984	4984	4984	4984
66	2025-09-06 12:50:42	7563	4993	65391	7554	7554	7554	7554	7554	7554	7554
67	2025-09-06 12:50:43	7563	4993	65391	7554	7554	7554	7554	7554	7554	7554
68	2025-09-06 12:50:44	7563	4993	65391	7554	7554	7554	7554	7554	7554	7554
69	2025-09-06 12:50:45	10133	7563	2425	10124	10124	10124	10124	10124	10124	10124
70	2025-09-06 12:50:46	10133	7563	2425	10124	10124	10124	10124	10124	10124	10124
71	2025-09-06 13:02:24	1127	64093	58955	1118	1118	1118	1118	1118	1118	1118
72	2025-09-06 13:02:25	1127	64093	58955	1118	1118	1118	1118	1118	1118	1118
73	2025-09-06 13:02:26	3697	1127	61525	3688	3688	3688	3688	3688	3688	3688
74	2025-09-06 13:02:28	3697	1127	61525	3688	3688	3688	3688	3688	3688	3688
75	2025-09-06 13:02:29	6267	3697	64095	6258	6258	6258	6258	6258	6258	6258
76	2025-09-06 13:02:30	6267	3697	64095	6258	6258	6258	6258	6258	6258	6258
77	2025-09-06 13:02:31	6267	3697	64095	6258	6258	6258	6258	6258	6258	6258
78	2025-09-06 13:02:32	8837	6267	1129	8828	8828	8828	8828	8828	8828	8828
79	2025-09-06 13:02:33	8837	6267	1129	8828	8828	8828	8828	8828	8828	8828
80	2025-09-06 13:02:34	11407	8837	3699	11398	11398	11398	11398	11398	11398	11398
81	2025-09-06 13:02:35	11407	8837	3699	11398	11398	11398	11398	11398	11398	11398
82	2025-09-06 13:02:36	13977	11407	6269	13968	13968	13968	13968	13968	13968	13968
83	2025-09-06 13:02:37	13977	11407	6269	13968	13968	13968	13968	13968	13968	13968
84	2025-09-06 13:02:38	13977	11407	6269	13968	13968	13968	13968	13968	13968	13968
85	2025-09-06 13:02:39	16547	13977	8839	16538	16538	16538	16538	16538	16538	16538
86	2025-09-06 13:02:40	16547	13977	8839	16538	16538	16538	16538	16538	16538	16538
87	2025-09-06 13:02:41	19117	16547	11409	19108	19108	19108	19108	19108	19108	19108
88	2025-09-06 13:02:42	19117	16547	11409	19108	19108	19108	19108	19108	19108	19108
89	2025-09-06 13:02:43	19117	16547	11409	19108	19108	19108	19108	19108	19108	19108
90	2025-09-06 13:02:44	21687	19117	13979	21678	21678	21678	21678	21678	21678	21678
91	2025-09-06 13:02:45	21687	19117	13979	21678	21678	21678	21678	21678	21678	21678
92	2025-09-06 13:02:46	24257	21687	16549	24248	24248	24248	24248	24248	24248	24248
93	2025-09-06 13:02:47	24257	21687	16549	24248	24248	24248	24248	24248	24248	24248
94	2025-09-06 13:02:48	24257	21687	16549	24248	24248	24248	24248	24248	24248	24248
95	2025-09-06 13:02:49	26827	24257	19119	26818	26818	26818	26818	26818	26818	26818
96	2025-09-06 20:50:14	901	63867	58729	892	892	892	892	892	892	892
97	2025-09-06 20:50:15	901	63867	58729	892	892	892	892	892	892	892
98	2025-09-06 20:50:16	901	63867	58729	892	892	892	892	892	892	892
99	2025-09-06 20:50:17	3471	901	61299	3462	3462	3462	3462	3462	3462	3462
100	2025-09-06 20:50:18	3471	901	61299	3462	3462	3462	3462	3462	3462	3462
101	2025-09-06 20:50:19	6041	3471	63869	6032	6032	6032	6032	6032	6032	6032
102	2025-09-06 20:50:20	6041	3471	63869	6032	6032	6032	6032	6032	6032	6032
103	2025-09-06 20:50:21	6041	3471	63869	6032	6032	6032	6032	6032	6032	6032
104	2025-09-06 20:50:22	8611	6041	903	8602	8602	8602	8602	8602	8602	8602
105	2025-09-06 20:50:23	8611	6041	903	8602	8602	8602	8602	8602	8602	8602
106	2025-09-06 20:50:24	11181	8611	3473	11172	11172	11172	11172	11172	11172	11172
107	2025-09-06 20:50:26	11181	8611	3473	11172	11172	11172	11172	11172	11172	11172
108	2025-09-06 20:50:27	13751	11181	6043	13742	13742	13742	13742	13742	13742	13742
109	2025-09-06 20:50:28	13751	11181	6043	13742	13742	13742	13742	13742	13742	13742
110	2025-09-06 20:50:29	13751	11181	6043	13742	13742	13742	13742	13742	13742	13742
111	2025-09-06 20:50:30	16321	13751	8613	16312	16312	16312	16312	16312	16312	16312
112	2025-09-06 20:50:31	16321	13751	8613	16312	16312	16312	16312	16312	16312	16312
113	2025-09-06 20:50:32	18891	16321	11183	18882	18882	18882	18882	18882	18882	18882
114	2025-09-06 20:50:33	18891	16321	11183	18882	18882	18882	18882	18882	18882	18882
115	2025-09-06 20:50:34	18891	16321	11183	18882	18882	18882	18882	18882	18882	18882
116	2025-09-06 20:50:35	21461	18891	13753	21452	21452	21452	21452	21452	21452	21452
117	2025-09-06 20:50:36	21461	18891	13753	21452	21452	21452	21452	21452	21452	21452
118	2025-09-06 20:50:37	24031	21461	16323	24022	24022	24022	24022	24022	24022	24022
119	2025-09-06 20:50:38	24031	21461	16323	24022	24022	24022	24022	24022	24022	24022
120	2025-09-06 20:50:39	26601	24031	18893	26592	26592	26592	26592	26592	26592	26592
121	2025-09-06 20:50:40	26601	24031	18893	26592	26592	26592	26592	26592	26592	26592
122	2025-09-06 20:50:41	26601	24031	18893	26592	26592	26592	26592	26592	26592	26592
123	2025-09-06 20:50:42	29171	26601	21463	29162	29162	29162	29162	29162	29162	29162
124	2025-09-06 20:50:43	29171	26601	21463	29162	29162	29162	29162	29162	29162	29162
125	2025-09-06 20:50:44	31741	29171	24033	31732	31732	31732	31732	31732	31732	31732
126	2025-09-06 20:50:45	31741	29171	24033	31732	31732	31732	31732	31732	31732	31732
127	2025-09-06 20:50:46	31741	29171	24033	31732	31732	31732	31732	31732	31732	31732
128	2025-09-06 20:50:48	34311	31741	26603	34302	34302	34302	34302	34302	34302	34302
129	2025-09-06 20:50:49	34311	31741	26603	34302	34302	34302	34302	34302	34302	34302
130	2025-09-06 20:50:50	36881	34311	29173	36872	36872	36872	36872	36872	36872	36872
131	2025-09-06 20:50:51	36881	34311	29173	36872	36872	36872	36872	36872	36872	36872
132	2025-09-06 20:50:52	39451	36881	31743	39442	39442	39442	39442	39442	39442	39442
133	2025-09-06 20:50:53	39451	36881	31743	39442	39442	39442	39442	39442	39442	39442
134	2025-09-06 20:50:54	39451	36881	31743	39442	39442	39442	39442	39442	39442	39442
135	2025-09-06 20:50:55	42021	39451	34313	42012	42012	42012	42012	42012	42012	42012
136	2025-09-06 20:50:56	42021	39451	34313	42012	42012	42012	42012	42012	42012	42012
137	2025-09-06 20:50:57	44591	42021	36883	44582	44582	44582	44582	44582	44582	44582
138	2025-09-06 20:50:58	44591	42021	36883	44582	44582	44582	44582	44582	44582	44582
139	2025-09-06 20:50:59	44591	42021	36883	44582	44582	44582	44582	44582	44582	44582
140	2025-09-06 20:51:00	47161	44591	39453	47152	47152	47152	47152	47152	47152	47152
141	2025-09-06 20:51:01	47161	44591	39453	47152	47152	47152	47152	47152	47152	47152
142	2025-09-06 20:51:02	49731	47161	42023	49722	49722	49722	49722	49722	49722	49722
143	2025-09-06 20:51:03	49731	47161	42023	49722	49722	49722	49722	49722	49722	49722
144	2025-09-06 20:51:04	52301	49731	44593	52292	52292	52292	52292	52292	52292	52292
145	2025-09-06 20:51:05	52301	49731	44593	52292	52292	52292	52292	52292	52292	52292
146	2025-09-06 20:51:07	52301	49731	44593	52292	52292	52292	52292	52292	52292	52292
147	2025-09-06 20:51:08	54871	52301	47163	54862	54862	54862	54862	54862	54862	54862
148	2025-09-06 20:51:09	54871	52301	47163	54862	54862	54862	54862	54862	54862	54862
149	2025-09-06 20:51:10	57441	54871	49733	57432	57432	57432	57432	57432	57432	57432
150	2025-09-06 20:51:11	57441	54871	49733	57432	57432	57432	57432	57432	57432	57432
151	2025-09-06 20:51:12	60011	57441	52303	60002	60002	60002	60002	60002	60002	60002
152	2025-09-06 20:51:13	60011	57441	52303	60002	60002	60002	60002	60002	60002	60002
153	2025-09-06 20:51:14	60011	57441	52303	60002	60002	60002	60002	60002	60002	60002
154	2025-09-06 20:51:15	62581	60011	54873	62572	62572	62572	62572	62572	62572	62572
155	2025-09-06 20:51:16	62581	60011	54873	62572	62572	62572	62572	62572	62572	62572
156	2025-09-06 20:51:17	65151	62581	57443	65142	65142	65142	65142	65142	65142	65142
157	2025-09-06 20:51:18	65151	62581	57443	65142	65142	65142	65142	65142	65142	65142
158	2025-09-06 20:51:19	65151	62581	57443	65142	65142	65142	65142	65142	65142	65142
159	2025-09-06 20:51:20	2185	65151	60013	2176	2176	2176	2176	2176	2176	2176
160	2025-09-06 20:51:21	2185	65151	60013	2176	2176	2176	2176	2176	2176	2176
161	2025-09-06 20:51:22	4755	2185	62583	4746	4746	4746	4746	4746	4746	4746
162	2025-09-06 20:51:23	4755	2185	62583	4746	4746	4746	4746	4746	4746	4746
163	2025-09-06 20:51:24	7325	4755	65153	7316	7316	7316	7316	7316	7316	7316
164	2025-09-06 20:51:25	7325	4755	65153	7316	7316	7316	7316	7316	7316	7316
165	2025-09-06 20:51:27	7325	4755	65153	7316	7316	7316	7316	7316	7316	7316
166	2025-09-06 20:51:28	9895	7325	2187	9886	9886	9886	9886	9886	9886	9886
167	2025-09-06 20:51:29	9895	7325	2187	9886	9886	9886	9886	9886	9886	9886
168	2025-09-06 20:51:30	12465	9895	4757	12456	12456	12456	12456	12456	12456	12456
169	2025-09-06 20:51:31	12465	9895	4757	12456	12456	12456	12456	12456	12456	12456
170	2025-09-06 20:51:32	12465	9895	4757	12456	12456	12456	12456	12456	12456	12456
171	2025-09-06 20:51:33	15035	12465	7327	15026	15026	15026	15026	15026	15026	15026
172	2025-09-06 20:51:34	15035	12465	7327	15026	15026	15026	15026	15026	15026	15026
173	2025-09-06 20:51:35	17605	15035	9897	17596	17596	17596	17596	17596	17596	17596
174	2025-09-06 20:51:36	17605	15035	9897	17596	17596	17596	17596	17596	17596	17596
175	2025-09-06 20:51:37	20175	17605	12467	20166	20166	20166	20166	20166	20166	20166
176	2025-09-06 20:51:38	20175	17605	12467	20166	20166	20166	20166	20166	20166	20166
177	2025-09-06 20:51:39	20175	17605	12467	20166	20166	20166	20166	20166	20166	20166
178	2025-09-06 20:51:40	22745	20175	15037	22736	22736	22736	22736	22736	22736	22736
179	2025-09-06 20:51:41	22745	20175	15037	22736	22736	22736	22736	22736	22736	22736
180	2025-09-06 20:51:42	25315	22745	17607	25306	25306	25306	25306	25306	25306	25306
181	2025-09-06 20:51:43	25315	22745	17607	25306	25306	25306	25306	25306	25306	25306
182	2025-09-06 20:51:44	25315	22745	17607	25306	25306	25306	25306	25306	25306	25306
183	2025-09-06 20:51:45	27885	25315	20177	27876	27876	27876	27876	27876	27876	27876
184	2025-09-06 20:51:46	27885	25315	20177	27876	27876	27876	27876	27876	27876	27876
185	2025-09-06 20:51:48	30455	27885	22747	30446	30446	30446	30446	30446	30446	30446
186	2025-09-06 20:51:49	30455	27885	22747	30446	30446	30446	30446	30446	30446	30446
187	2025-09-06 20:51:50	33025	30455	25317	33016	33016	33016	33016	33016	33016	33016
188	2025-09-06 20:51:51	33025	30455	25317	33016	33016	33016	33016	33016	33016	33016
189	2025-09-06 20:51:52	33025	30455	25317	33016	33016	33016	33016	33016	33016	33016
190	2025-09-06 20:51:53	35595	33025	27887	35586	35586	35586	35586	35586	35586	35586
191	2025-09-06 20:51:54	35595	33025	27887	35586	35586	35586	35586	35586	35586	35586
192	2025-09-06 20:51:55	38165	35595	30457	38156	38156	38156	38156	38156	38156	38156
193	2025-09-06 20:51:56	38165	35595	30457	38156	38156	38156	38156	38156	38156	38156
194	2025-09-06 20:51:57	38165	35595	30457	38156	38156	38156	38156	38156	38156	38156
195	2025-09-06 20:51:58	40735	38165	33027	40726	40726	40726	40726	40726	40726	40726
196	2025-09-07 11:50:44	56459	51286	54260	46117	41744	39076	39736	31327	26228	29518
197	2025-09-07 11:50:45	56459	51286	54260	46117	41744	39076	39736	31327	26228	29518
198	2025-09-07 11:50:46	59029	53856	56830	48687	44314	41646	42306	33897	28798	32088
199	2025-09-07 11:50:47	59029	53856	56830	48687	44314	41646	42306	33897	28798	32088
200	2025-09-07 11:50:48	59029	53856	56830	48687	44314	41646	42306	33897	28798	32088
201	2025-09-07 11:50:50	61599	56426	59400	51257	46884	44216	44876	36467	31368	34658
202	2025-09-07 11:50:51	61599	56426	59400	51257	46884	44216	44876	36467	31368	34658
203	2025-09-07 11:50:52	64169	58996	61970	53827	49454	46786	47446	39037	33938	37228
204	2025-09-07 11:50:53	64169	58996	61970	53827	49454	46786	47446	39037	33938	37228
205	2025-09-07 11:50:54	1203	61566	64540	56397	52024	49356	50016	41607	36508	39798
206	2025-09-07 11:50:55	1203	61566	64540	56397	52024	49356	50016	41607	36508	39798
207	2025-09-07 11:50:56	1203	61566	64540	56397	52024	49356	50016	41607	36508	39798
208	2025-09-07 11:50:57	3773	64136	1574	58967	54594	51926	52586	44177	39078	42368
209	2025-09-07 11:50:58	3773	64136	1574	58967	54594	51926	52586	44177	39078	42368
210	2025-09-07 11:50:59	6343	1170	4144	61537	57164	54496	55156	46747	41648	44938
211	2025-09-07 11:51:00	6343	1170	4144	61537	57164	54496	55156	46747	41648	44938
212	2025-09-07 11:51:01	6343	1170	4144	61537	57164	54496	55156	46747	41648	44938
213	2025-09-07 11:51:02	8913	3740	6714	64107	59734	57066	57726	49317	44218	47508
214	2025-09-07 11:51:03	8913	3740	6714	64107	59734	57066	57726	49317	44218	47508
215	2025-09-07 11:51:04	11483	6310	9284	1141	62304	59636	60296	51887	46788	50078
216	2025-09-07 11:51:05	11483	6310	9284	1141	62304	59636	60296	51887	46788	50078
217	2025-09-07 11:51:06	14053	8880	11854	3711	64874	62206	62866	54457	49358	52648
218	2025-09-07 11:51:08	14053	8880	11854	3711	64874	62206	62866	54457	49358	52648
219	2025-09-07 11:51:09	14053	8880	11854	3711	64874	62206	62866	54457	49358	52648
220	2025-09-07 11:51:10	16623	11450	14424	6281	1908	64776	65436	57027	51928	55218
221	2025-09-07 11:51:11	16623	11450	14424	6281	1908	64776	65436	57027	51928	55218
222	2025-09-07 11:51:12	19193	14020	16994	8851	4478	1810	2470	59597	54498	57788
223	2025-09-07 11:51:13	19193	14020	16994	8851	4478	1810	2470	59597	54498	57788
224	2025-09-07 11:51:14	19193	14020	16994	8851	4478	1810	2470	59597	54498	57788
225	2025-09-07 11:51:15	21763	16590	19564	11421	7048	4380	5040	62167	57068	60358
226	2025-09-07 11:51:16	21763	16590	19564	11421	7048	4380	5040	62167	57068	60358
227	2025-09-07 11:51:17	24333	19160	22134	13991	9618	6950	7610	64737	59638	62928
228	2025-09-07 11:51:18	24333	19160	22134	13991	9618	6950	7610	64737	59638	62928
229	2025-09-07 11:51:19	26903	21730	24704	16561	12188	9520	10180	1771	62208	65498
230	2025-09-07 11:51:20	26903	21730	24704	16561	12188	9520	10180	1771	62208	65498
231	2025-09-07 11:51:21	26903	21730	24704	16561	12188	9520	10180	1771	62208	65498
232	2025-09-07 11:51:22	29473	24300	27274	19131	14758	12090	12750	4341	64778	2532
233	2025-09-07 11:51:23	29473	24300	27274	19131	14758	12090	12750	4341	64778	2532
234	2025-09-07 11:51:24	32043	26870	29844	21701	17328	14660	15320	6911	1812	5102
235	2025-09-07 11:51:25	32043	26870	29844	21701	17328	14660	15320	6911	1812	5102
236	2025-09-07 11:51:27	34613	29440	32414	24271	19898	17230	17890	9481	4382	7672
237	2025-09-07 11:51:28	34613	29440	32414	24271	19898	17230	17890	9481	4382	7672
238	2025-09-07 11:51:29	34613	29440	32414	24271	19898	17230	17890	9481	4382	7672
239	2025-09-07 11:51:30	37183	32010	34984	26841	22468	19800	20460	12051	6952	10242
240	2025-09-07 11:51:31	37183	32010	34984	26841	22468	19800	20460	12051	6952	10242
241	2025-09-07 11:51:32	39753	34580	37554	29411	25038	22370	23030	14621	9522	12812
242	2025-09-07 11:51:33	39753	34580	37554	29411	25038	22370	23030	14621	9522	12812
243	2025-09-07 11:51:34	39753	34580	37554	29411	25038	22370	23030	14621	9522	12812
244	2025-09-07 11:51:35	42323	37150	40124	31981	27608	24940	25600	17191	12092	15382
245	2025-09-07 11:51:36	42323	37150	40124	31981	27608	24940	25600	17191	12092	15382
246	2025-09-07 11:51:37	44893	39720	42694	34551	30178	27510	28170	19761	14662	17952
247	2025-09-07 11:51:38	44893	39720	42694	34551	30178	27510	28170	19761	14662	17952
248	2025-09-07 11:51:39	47463	42290	45264	37121	32748	30080	30740	22331	17232	20522
249	2025-09-07 11:51:40	47463	42290	45264	37121	32748	30080	30740	22331	17232	20522
250	2025-09-07 11:51:41	47463	42290	45264	37121	32748	30080	30740	22331	17232	20522
